code,criticality,name,descr
N,1,New,"Ticket has been created"
A,2,Assigned,"Ticket assigned to someone"
I,3,In Process,"Work in progress"
H,4,On Hold,"Temporarily paused"
R,5,Resolved,"Issue resolved"
C,6,Closed,"Ticket closed"
CRITICAL,4,Critical Issue,"High risk issue with potential data loss"
SECURITY,5,Security Issue,"Security vulnerability detected"
PERFORMANCE,3,Performance Issue,"System performance degradation"
USABILITY,2,Usability Issue,"User experience related issue"
COMPLIANCE,4,Compliance Issue,"Regulatory or policy compliance problem"
INTEGRATION,3,Integration Issue,"Failure in system integration"
NETWORK,3,Network Issue,"Network connectivity problems"
DATABASE,4,Database Issue,"Database errors or data inconsistency"
HARDWARE,4,Hardware Issue,"Hardware component failure"
SOFTWARE,3,Software Issue,"Application software malfunction"
MAINTENANCE,1,Maintenance,"Scheduled maintenance activity"
