code,locale,name,descr
LOW,en,Low Priority,"Minor issue with low impact"
MEDIUM,en,Medium Priority,"Issue affecting normal workflow"
HIGH,en,High Priority,"Requires immediate attention"
URGENT,en,Urgent Priority,"System outage or severe impact"
CRITICAL,en,Critical Priority,"High risk issue with data loss possibility"
LOW,fr,Priorité Faible,"Problème mineur avec faible impact"
MEDIUM,fr,Priorité Moyenne,"Problème affectant le fonctionnement normal"
HIGH,fr,Priorité Élevée,"Nécessite une attention immédiate"
URGENT,fr,Priorité Urgente,"Panne du système ou impact sévère"
CRITICAL,fr,Priorité Critique,"Risque élevé avec perte de données possible"
LOW,de,Niedrige Priorität,"Geringfügiges Problem mit geringer Auswirkung"
MEDIUM,de,Mittlere Priorität,"Problem beeinträchtigt normalen Betrieb"
HIGH,de,Hohe Priorität,"Erfordert sofortige Aufmerksamkeit"
URGENT,de,Dringende Priorität,"Systemausfall oder schwerwiegende Auswirkungen"
CRITICAL,de,Kritische Priorität,"Hohes Risiko mit möglichem Datenverlust"
LOW,es,Prioridad Baja,"Problema menor con bajo impacto"
MEDIUM,es,Prioridad Media,"Problema que afecta el flujo normal"
HIGH,es,Prioridad Alta,"Requiere atención inmediata"
URGENT,es,Prioridad Urgente,"Caída del sistema o impacto grave"
CRITICAL,es,Prioridad Crítica,"Alto riesgo con posible pérdida de datos"
