code,name,descr
H,High,"High priority issue"
M,Medium,"Medium priority issue"
L,Low,"Low priority issue"
SUCCESS,Success,"Operation completed successfully"
NEW,New,"Newly created request"
ASSIGNED,Assigned,"Ticket assigned to support staff"
ESCALATED,Escalated,"Issue escalated to higher support level"
DUPLICATE,Duplicate,"Same issue already reported"
INVALID,Invalid,"Request is not valid"
APPROVED,Approved,"Request approved by authority"
REJECTED,Rejected,"Request rejected"
SCHEDULED,Scheduled,"Action scheduled for a later time"
EXPIRED,Expired,"Request expired due to timeout"
ARCHIVED,Archived,"Record archived for future reference"
