code,locale,name,descr
OPEN,en,Open,"Ticket has been created and is awaiting action"
IN_PROGRESS,en,In Progress,"Ticket is currently being worked on"
RESOLVED,en,Resolved,"Issue has been fixed and awaiting confirmation"
CLOSED,en,Closed,"Ticket has been closed successfully"
REOPENED,en,Reopened,"Ticket was reopened after closure"
OPEN,fr,Ouvert,"Le ticket a été créé et attend une action"
IN_PROGRESS,fr,En cours,"Le ticket est en cours de traitement"
RESOLVED,fr,Résolu,"Le problème a été corrigé"
CLOSED,fr,Fermé,"Le ticket a été fermé avec succès"
REOPENED,fr,Réouvert,"Le ticket a été rouvert après fermeture"
OPEN,de,Offen,"Ticket wurde erstellt und wartet auf Aktion"
IN_PROGRESS,de,In Bearbeitung,"Ticket wird derzeit bearbeitet"
RESOLVED,de,Gelöst,"Problem wurde behoben"
CLOSED,de,Geschlossen,"Ticket wurde erfolgreich geschlossen"
REOPENED,de,Erneut geöffnet,"Ticket wurde nach Schließung erneut geöffnet"
OPEN,es,Abierto,"El ticket ha sido creado y espera acción"
IN_PROGRESS,es,En Progreso,"El ticket está siendo procesado"
RESOLVED,es,Resuelto,"El problema ha sido solucionado"
CLOSED,es,Cerrado,"El ticket ha sido cerrado con éxito"
REOPENED,es,Reabierto,"El ticket fue reabierto después del cierre"
