"TENANT_ID","PARAM_NAME","PARAM_DESC","PARAM_VALUE","PARAM_NAMESPACE_KEY","CREATED_BY","MODIFIED_BY"
"BrainBoxDSAPP-T","ENABLE_TREE_MENU_CHOOSER","enable treemenu chooser","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_SUPPLIER_CAROUSEL_ON_SEARCH","Display supplier search carousel in search results","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_SPLIT_BY_QUANTITY","Enable split accounting by quantity","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_SEARCH_COMPARISON","ENABLE_SEARCH_COMPARISON","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_NEW_FORM_DESIGNER","Enable New form designer","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","SHOW_SHIPPING_ADDRESS","SHOW SHIPPING ADDRESS","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","ENABLE_RECEIVING_MANAGER","ENABLE_RECEIVING_MANAGER","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_CUSTOM_ATTRIBUTES","Enable Form Custom Attributes","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_IMPROVED_SEARCH_EXPERIENCE","""Search result redesign feature, which enables improved search result page""","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_NON_PO_INVOICE","Enable Non-PO Invoice entry","true","BrainBoxDSAPP-T","puser2","puser2"
"BrainBoxDSAPP-T","PARAM_ENABLE_USAGE_REPORTS","""Enable the generation of the monthly usage report, available in the Admin page. You must also set PARAM_ENABLE_CLICKSTREAM_PUBLISH to true.""","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
"BrainBoxDSAPP-T","PARAM_ENABLE_NEW_YOUR_REQUEST_PAGE","Determines whether the redesigned Your requests page displays.","true","BrainBoxDSAPP-T","Abdullah@brainbox.consulting","Abdullah@brainbox.consulting"
