code,locale,name,descr
URG01,en,Low Priority,"Minor issue with no immediate impact"
URG01,fr,Priorité basse,"Problème mineur sans impact immédiat"
URG02,en,Medium Priority,"Issue affects functionality but workaround available"
URG02,fr,Priorité moyenne,"Le problème affecte la fonctionnalité mais une solution existe"
URG03,en,High Priority,"Major issue causing significant disruption"
URG03,fr,Priorité élevée,"Problème majeur causant une perturbation importante"
URG04,en,Critical Priority,"System outage or data loss risk"
URG04,fr,Priorité critique,"Risque de panne système ou de perte de données"
STS01,en,Open,"Newly created request or ticket"
STS01,fr,Ouvert,"Demande ou ticket nouvellement créé"
STS02,en,In Progress,"Work is currently being performed"
STS02,fr,En cours,"Le travail est actuellement en cours"
STS03,en,Resolved,"Issue has been fixed and awaiting confirmation"
STS03,fr,Résolu,"Le problème a été corrigé et attend confirmation"
STS04,en,Closed,"Request or ticket has been completed"
STS04,fr,Fermé,"La demande ou le ticket a été clôturé"
