code,name,descr
CAT01,General Inquiry,"Customer has a general question or request"
CAT02,Technical Issue,"Problem related to system or application"
CAT03,Billing Issue,"Issue related to invoices or payments"
CAT04,Account Issue,"User account related problem"
CAT05,Security Issue,"Potential security concern identified"
CAT06,Feature Request,"Request for a new feature or enhancement"
CAT07,Login Problem,"User unable to log in to the system"
CAT08,Performance Issue,"System is slow or unresponsive"
CAT09,Data Error,"Incorrect or inconsistent data observed"
CAT10,Integration Issue,"Problem with third-party integrations"
CAT11,UI Bug,"Visual or layout-related defect"
CAT12,Notification Issue,"Emails or alerts not being delivered"
CAT13,Access Request,"User requesting access or permissions"
CAT14,Password Reset,"User needs help resetting password"
CAT15,Account Suspension,"Account temporarily disabled"
CAT16,Data Export,"Request to export system data"
CAT17,Report Issue,"Incorrect or missing information in reports"
CAT18,Mobile App Issue,"Problem specific to mobile application"
CAT19,Upgrade Request,"Request related to system upgrade"
CAT20,Other,"Issues not covered by predefined categories"
